project,tech,province,year,wind_cap,sol_cap,storage,duration,location
eReserve1 ATCO Rycroft 730S Battery DER,Energy Storage,AB,2022,#N/A,#N/A,20,20,20-Grande Prairie
eReserve3 Mercer Hill,Energy Storage,AB,2022,#N/A,#N/A,20,20,Clairmont
Brooks 121S DER Solar 1,Solar,AB,2022,#N/A,13,#N/A,#N/A,Brooks
Brooks 121S DER Solar 2,Solar,AB,2022,#N/A,14,#N/A,#N/A,Brooks
Clydesdale 1&2,Solar,AB,2022,#N/A,75,#N/A,#N/A,Taber
Coaldale 254S DER Solar 3 (Fortis),Solar,AB,2022,#N/A,22.5,#N/A,#N/A,Lethbridge
Conrad DER Solar 1 (FortisAlberta),Solar,AB,2022,#N/A,18.4,#N/A,#N/A,Vauxhall
Conrad DER Solar 2 (FortisAlberta),Solar,AB,2022,#N/A,18,#N/A,#N/A,Vauxhall
Kisikaw-pisim 1 & 2,Solar,AB,2022,#N/A,13.6,#N/A,#N/A,Enoch Cree Reserve land
Monarch 492S DER Solar (Fortis),Solar,AB,2022,#N/A,23.6,#N/A,#N/A,Lethbridge
"Namaka Solar (East Strathmore Solar Project)
(NMK1)",Solar,AB,2022,#N/A,20.1,#N/A,#N/A,Strathmore
Strathmore Solar,Solar,AB,2022,#N/A,40.5,#N/A,#N/A,Strathmore
Travers Solar Project,Solar,AB,2022,#N/A,465,#N/A,#N/A,Lomond
Vulcan Faribault Farms DG PV (Fortis 255S),Solar,AB,2022,#N/A,22,#N/A,#N/A,Stavely
"Forty Mile Wind Power Project- Granlea
Phase",Wind,AB,2022,202.5,#N/A,#N/A,#N/A,Bow Island
Lanfine North Wind Farm,Wind,AB,2022,150,#N/A,#N/A,#N/A,"Oyen, AB"
Rattlesnake Ridge Wind Project,Wind,AB,2022,130,#N/A,#N/A,#N/A,Medicine Hat
Wheatland WAGF Project,Wind,AB,2022,122.4,#N/A,#N/A,#N/A,43-Sheerness
Kejimkujik National Park Solar Array,Solar,NS,2022,#N/A,0.1,#N/A,#N/A,Kejimkujik
"Collaborative Grid Innovation for Atlantic
Smart Energy Communities (Amherst)",Solar-Storage,NS,2022,#N/A,2,,,Amherst
"Metrolinx Eglinton Crosstown Maintenance
and Storage Facility",Energy Storage,ON,2022,#N/A,#N/A,10,30,"Toronto, ON"
Des Cultures (Parc Éolien),Wind,QC,2022,24,#N/A,#N/A,#N/A,"communauté mohawk de Kahnawake, en
Montérégie"
Awasis Solar,Solar,SK,2022,#N/A,10,#N/A,#N/A,Regina
Blue Hill Wind Project,Wind,SK,2022,177,#N/A,#N/A,#N/A,South of Herbert
Golden South Wind Energy Facility,Wind,SK,2022,200,#N/A,#N/A,#N/A,south of Assiniboia
Snowline Gold Solar Mine,Solar-Storage,YK,2022,#N/A,,,0.121,Remote eastern Yukon
ENMAX Crossfield CRS3 Battery Storage,Energy Storage,AB,2021,#N/A,#N/A,10,4.3,57-Airdrie
eReserve2 Buffalo Creek 526S DER Storage,Energy Storage,AB,2021,#N/A,#N/A,20,20,32-Wainwright
Alberta Solar One (Burdett 1),Solar,AB,2021,#N/A,10.5,#N/A,#N/A,"Burdet, Forty Mile County"
Burdett Solar Project,Solar,AB,2021,#N/A,20,#N/A,#N/A,"Burdet, Forty Mile County"
Claresholm Solar project,Solar,AB,2021,#N/A,132,#N/A,#N/A,Claresholm
Hays DG PV (Fortis 421S),Solar,AB,2021,#N/A,23,#N/A,#N/A,Taber
Jenner Solar DER (Fortis 275S),Solar,AB,2021,#N/A,23,#N/A,#N/A,Empress
Suffield Solar,Solar,AB,2021,#N/A,23,#N/A,#N/A,Suffield
Yellow Lake Solar Project,Solar,AB,2021,#N/A,19,#N/A,#N/A,Yellow Lake
Whitla Wind 2,Wind,AB,2021,97.2,#N/A,#N/A,#N/A,County of Forty Mile
Whitla Wind 3,Wind,AB,2021,54,#N/A,#N/A,#N/A,County of Forty Mile
Windrise,Wind,AB,2021,206.4,#N/A,#N/A,#N/A,Municipal District of Willow Creek
Sukunka Wind Energy Project,Wind,BC,2021,15,#N/A,#N/A,#N/A,Chetwynd
Zonnebeke Wind Energy Project,Wind,BC,2021,15,#N/A,#N/A,#N/A,Chetwynd
Berwick (AREA),Solar-Storage,NS,2021,#N/A,4.8,,0.5,Berwick
NSG Group Collingwood Storage,Energy Storage,ON,2021,#N/A,#N/A,,10,"Collingwood, ON"
Fort Severn Solar,Solar,ON,2021,#N/A,0.3,#N/A,#N/A,Fort Severn
Nation Rise Wind Farm,Wind,ON,2021,101.5,#N/A,#N/A,#N/A,North Stormont
WEICAN R&D Park Phase 2,Solar-Storage,PE,2021,#N/A,0.1,0.1,0.22,North Cape
