year,coal_conv,coal_cap,solar_dist,solar_utility,wind_off,wind_on,hydro,hydrogen,ng_conv,ng_cap,oil,battery,bio_conv,bio_cap,nuclear_conv,nuclear_smr,total,scenario
2020,7814,115,2357.46,3116.94,0,13661.31,81793,0,22901.6,0,3660.85,95,2524.1,0,14805,0,152844.26,CN0
2021,6434,115,2420.08,3350.94,0,13881.31,83123,0,22981.6,0,3660.85,95,2543.1,0,13105,0,151709.87,CN0
2022,4594,115,2482.69,3994.94,0,15240.31,83728,0,23481.6,0,3660.85,140,2543.1,0,13105,0,153085.49,CN0
2023,3644,115,2610.31,4225.94,0,16140.31,83728,0,25911.6,0,3660.85,140,2543.1,0,12105,0,154824.11,CN0
2024,2814,115,2755.78,4225.94,0,17809.31,83787.5,0,26176.6,0,3664.85,140,2543.1,0,12105,0,156137.08,CN0
2025,2814,115,2957.09,4678.97,0,19376.81,84912.5,0,29865.6,0,3674.85,140,2693.6,0,12105,0,163333.42,CN0
2026,2814,115,3204.43,4942.37,400,20420.81,85822.5,0,32166.6,216,3550.85,140,2693.6,0,11205,0,167691.16,CN0
2027,2525,115,3451.77,5204.77,800,21476.81,86622.5,0,34456.6,433,3518.85,140,2693.6,0,10805,0,172242.9,CN0
2028,2525,115,3699.11,5467.17,1200,22537.81,87522.5,0,36396.6,649,3518.85,140,2693.6,0,10805,0,177269.64,CN0
2029,1950,115,3946.45,5730.57,1600,23582.81,88437,0,38616.6,865,3518.85,140,2693.6,0,10805,0,182000.88,CN0
2030,1950,115,4193.79,6028.97,2000,24695.75,89237,0,40542.6,2090,3493.05,340,2693.6,0,10805,300,188484.76,CN0
2031,0,115,4459.52,8983.97,2600,30070.75,89867,0,41742.6,2090,3006.05,340,2693.6,290.4,10805,2892.1,199955.99,CN0
2032,0,115,4725.25,11923.97,3200,35382.75,90412,0,42792.6,2090,2990.05,340,2693.6,579.6,10805,5485,213534.82,CN0
2033,0,115,4990.98,14883.97,3800,40772.75,90942,0,43530.6,2090,2990.05,340,2693.6,870,10805,8072,226895.95,CN0
2034,0,115,5256.71,17837.97,4400,46222.75,91612,0,43830.6,2090,2990.05,340,2693.6,1159.4,11605,10666,240819.08,CN0
2035,0,0,5522.45,20890.88,5000,51742,92149,0,34132.8,4303.3,2990.05,750,2693.6,1450.6,11605,13372,246601.67,CN0
2036,0,0,5788.18,21240.88,5000,54992,92149,0,33542.8,5647.7,1865.05,750,2693.6,1761,11605,15385,252420.2,CN0
2037,0,0,6053.91,21580.88,5000,58222,92149,0,33032.8,7002,1865.05,750,2693.6,2076,11605,17414,259444.24,CN0
2038,0,0,6319.64,21930.88,5000,61552,92149,0,31809.8,8347,1865.05,750,2693.6,2382,11605,19387,265790.97,CN0
2039,0,0,6585.37,22280.88,5000,64892,92149,0,31369.8,9691,1865.05,750,2693.6,2700,11605,21466,273047.7,CN0
2040,0,0,6851.1,22620.88,5000,68168.3,92152,0,30009.8,11036,1865.05,705,2693.6,3004,11605,23443,279153.73,CN0
2041,0,0,6986.76,23980.88,5000,72848.3,92252,57.4,29769.8,12278,1810.05,705,3106.6,3346,11605,23726,287471.79,CN0
2042,0,0,7122.41,25340.88,5000,77638.3,92452,115,29339.8,13530,1810.05,860,3526.6,3670,10900,23999,295304.04,CN0
2043,0,0,7258.07,26690.88,5000,82418.3,92552,172,29339.8,14763,1810.05,860,3936.6,4004,10900,24292,303996.7,CN0
2044,0,0,7393.73,28040.88,5000,87118.3,92752,230,29209.8,16005,1810.05,860,4356.6,4346,11579,24575,313276.35,CN0
2045,0,0,7529.38,29400.88,5000,91917.9,92852,287,28819.8,17237,1810.05,1280,4776.6,4670,11579,24868,322027.61,CN0
2046,0,0,7665.04,30510.88,5000,94731.9,92852,653,28129.8,17454,1810.05,2440,5096.6,5034,11579,24946,327902.27,CN0
2047,0,0,7800.69,31710.88,5000,97594.9,92852,1020,27979.8,17672,1810.05,3860,5416.6,5406,11579,25024,334725.92,CN0
2048,0,0,7936.35,32920.88,5000,100418.9,92852,1380,27569.8,17890,1810.05,5160,5736.6,5770,11579,25102,341125.58,CN0
2049,0,0,8072.01,34130.88,5000,103241.9,92852,1750,27559.8,18108,1810.05,5560,6066.6,6144,11579,25181,347055.23,CN0
2050,0,0,8207.66,34867.38,5000,106084.1,92852,2120,25909.8,18327,1810.05,5860,6386.6,6506,11579,25297,350806.59,CN0
2020,7814,115,2357.46,3116.94,0,13661.31,81793,0,22901.6,0,3660.85,95,0,2524.1,14805,0,152844.26,GN0
2021,6794,115,2420.08,3350.94,0,13881.31,83123,0,22981.6,0,3660.85,95,0,2543.1,13105,0,152069.87,GN0
2022,4594,115,2482.69,3994.94,0,15240.31,83728,0,23481.6,0,3660.85,140,0,2543.1,13105,0,153085.49,GN0
2023,3644,115,2610.31,4225.94,0,16140.31,83728,0,25911.6,0,3660.85,140,0,2543.1,12105,0,154824.11,GN0
2024,2814,115,2755.78,4225.94,0,17809.31,83787.5,0,26176.6,0,3664.85,140,0,2543.1,12105,0,156137.08,GN0
2025,2814,115,2957.09,4348.97,0,18240.81,84912.5,0,31540.6,0,3674.85,143.1,0,2583.2,12105,0,163435.12,GN0
2026,2814,115,3204.43,4529.97,400,19230.81,85562.5,0,33121.6,111,3550.85,143.1,0,2583.2,11205,0,166571.46,GN0
2027,2525,115,3451.77,4709.97,800,20221.81,86122.5,0,34841.6,221,3518.85,143.1,0,2583.2,10805,0,170058.8,GN0
2028,2525,115,3699.11,4889.97,1200,21222.81,86772.5,0,36191.6,332,3518.85,143.1,0,2583.2,10805,0,173998.14,GN0
2029,1950,115,3946.45,5070.97,1600,22211.81,87427,0,37621.6,442,3518.85,143.1,0,2583.2,10805,0,177434.98,GN0
2030,1950,115,4193.79,5302.27,2000,23212.24,88077,0,38161.6,1553,3493.05,2092.1,0,2583.2,10805,300,183838.25,GN0
2031,0,115,4459.52,8126.31,2600,27696.24,88847,0,39361.6,2153,3006.05,2092.1,290.4,2583.2,10805,1608.1,193743.51,GN0
2032,0,115,4725.25,10947.31,3200,32163.24,89642,0,40511.6,2743,2990.05,2092.1,579.6,2583.2,10805,2925.2,206022.55,GN0
2033,0,115,4990.98,13777.01,3800,36683.24,90412,0,41139.6,3333,2990.05,2092.1,870,2583.2,10805,4233.4,217824.58,GN0
2034,0,115,5256.71,16597.81,4400,41173.24,91312,0,41539.6,3920,2990.05,2092.1,1159.4,2583.2,11605,5540.5,230284.61,GN0
2035,0,0,5522.45,19523.34,5000,45706.7,92082,0,31671.8,6720,2990.05,2492.1,1450.6,2583.2,11605,6954.7,234301.93,GN0
2036,0,0,5788.18,19633.34,5000,47496.7,92082,0,31022.8,8337.1,1865.05,2492.1,1761,2583.2,11605,9255,238921.46,GN0
2037,0,0,6053.91,19743.34,5000,49166.7,92082,0,30212.8,9954.1,1865.05,2492.1,2076,2583.2,11605,11561,244395.19,GN0
2038,0,0,6319.64,19853.34,5000,51066.7,92082,0,28579.8,11571.2,1865.05,2492.1,2382,2583.2,11605,13879,249279.03,GN0
2039,0,0,6585.37,19963.34,5000,52746.7,92082,0,27749.8,13198,1865.05,2492.1,2700,2583.2,11605,16235,254805.56,GN0
2040,0,0,6851.1,20094.02,5000,54571,92082,0,25989.8,14815,1865.05,2447.1,3004,2583.2,11605,18562.4,259469.67,GN0
2041,0,0,6986.76,21485.02,5000,58711,92082,0,25739.8,16514,1810.05,2447.1,3346,2583.2,11605,19323,267632.92,GN0
2042,0,0,7122.41,22876.02,5000,62941,92082,0,25309.8,18323,1810.05,2602.1,3670,2583.2,10900,20084,275303.58,GN0
2043,0,0,7258.07,24257.02,5000,67181,92082,0,25309.8,20030,1810.05,2602.1,4004,2583.2,10900,20845,283862.24,GN0
2044,0,0,7393.73,25648.02,5000,71411,92082,0,25189.8,21840,1810.05,2602.1,4346,2583.2,11579,21605,293089.89,GN0
2045,0,0,7529.38,26977.22,5000,75587.6,92082,0,24799.8,23550,1810.05,2899,4670,2583.2,11579,22356,301423.25,GN0
2046,0,0,7665.04,27312.62,5000,78674.6,92182,0,24369.8,24270,1810.05,3949,5034,2583.2,11579,22671,307100.3,GN0
2047,0,0,7800.69,27657.12,5000,81670.6,92382,0,24579.8,24970,1810.05,5229,5406,2583.2,11579,22996,313663.46,GN0
2048,0,0,7936.35,28002.92,5000,84657.6,92482,0,24319.8,25570,1810.05,6399,5770,2583.2,11579,23311,319420.91,GN0
2049,0,0,8072.01,28337.92,5000,87744.6,92682,0,24569.8,26280,1810.05,7699,6144,2583.2,11579,23627,326128.57,GN0
2050,0,0,8207.66,28592.02,5000,90767.6,92782,0,20223.8,26980,1810.05,9350,6506,2583.2,11579,23979,328360.33,GN0
2020,7784,115,2357.46,4545.94,0,13661.31,81793,0,22901.6,0,3660.85,95,2524.1,0,14805,0,154243.26,BAU
2021,6434,115,2419.97,4545.94,0,13881.31,83123,0,22981.6,0,3660.85,95,2543.1,0,13105,0,152904.76,BAU
2022,4594,115,2482.47,4545.94,0,15240.31,83728,0,23481.6,0,3660.85,140,2543.1,0,13105,0,153636.27,BAU
2023,3644,115,2609.97,4545.94,0,15240.31,83728,0,25911.6,0,3660.85,140,2543.1,0,12105,0,154243.77,BAU
2024,2814,115,2721.05,4545.94,0,16909.31,83787.5,0,26176.6,0,3664.85,140,2543.1,0,12105,0,155522.35,BAU
2025,2814,115,2854.63,4668.97,0,17297.81,84912.5,0,30164.6,0,3674.85,140,7593.3,0,12105,0,166340.65,BAU
